"ensembl_id","ensembl_gene_id","gene_name","gene_biotype","entrezid","description"
"ENSDARG00000000442","ENSDARG00000000442","slc39a13","protein_coding",368686,"solute carrier family 39 (zinc transporter), member 13 [Source:ZFIN;Acc:ZDB-GENE-030616-17]"
"ENSDARG00000000460","ENSDARG00000000460","nitr2b","protein_coding",60647,"novel immune-type receptor 2b [Source:ZFIN;Acc:ZDB-GENE-001106-6]"
"ENSDARG00000000472","ENSDARG00000000472","cntn2","protein_coding",30726,"contactin 2 [Source:ZFIN;Acc:ZDB-GENE-990630-12]"
"ENSDARG00000000474","ENSDARG00000000474","tnni1a","protein_coding",558408,"troponin I type 1a (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-030616-266]"
"ENSDARG00000000476","ENSDARG00000000476","pms1","protein_coding",368631,"PMS1 homolog 1, mismatch repair system component [Source:ZFIN;Acc:ZDB-GENE-030616-528]"
"ENSDARG00000000489","ENSDARG00000000489","upf3b","protein_coding",393929,"UPF3B, regulator of nonsense mediated mRNA decay [Source:ZFIN;Acc:ZDB-GENE-040426-1630]"
"ENSDARG00000000503","ENSDARG00000000503","stx1b","protein_coding",58038,"syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]"
"ENSDARG00000000516","ENSDARG00000000516","ankar","protein_coding",368636,"ankyrin and armadillo repeat containing [Source:ZFIN;Acc:ZDB-GENE-030616-533]"
"ENSDARG00000000529","ENSDARG00000000529","ofd1","protein_coding",327216,"oral-facial-digital syndrome 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5427]"
"ENSDARG00000000540","ENSDARG00000000540","asdurf","protein_coding",c(110631416, 368827),"asnsd1 upstream reading frame [Source:ZFIN;Acc:ZDB-GENE-170731-1]"
"ENSDARG00000000542","ENSDARG00000000542","gtf2e1","protein_coding",567899,"general transcription factor IIE, polypeptide 1, alpha [Source:ZFIN;Acc:ZDB-GENE-041210-221]"
"ENSDARG00000000551","ENSDARG00000000551","slc1a4","protein_coding",368885,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]"
"ENSDARG00000000563","ENSDARG00000000563","ttn.1","protein_coding",100001684,"titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]"
"ENSDARG00000000567","ENSDARG00000000567","znf281a","protein_coding",100005963,"zinc finger protein 281a [Source:ZFIN;Acc:ZDB-GENE-131126-34]"
"ENSDARG00000000568","ENSDARG00000000568","ell","protein_coding",325221,"elongation factor RNA polymerase II [Source:ZFIN;Acc:ZDB-GENE-030131-3946]"
"ENSDARG00000000588","ENSDARG00000000588","grasp","protein_coding",558950,"GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:ZFIN;Acc:ZDB-GENE-060312-30]"
"ENSDARG00000000606","ENSDARG00000000606","dnah6","protein_coding",100148193,"dynein, axonemal, heavy chain 6 [Source:ZFIN;Acc:ZDB-GENE-030616-623]"
"ENSDARG00000000631","ENSDARG00000000631","ptpn4a","protein_coding",368448,"protein tyrosine phosphatase, non-receptor type 4a [Source:ZFIN;Acc:ZDB-GENE-030616-449]"
"ENSDARG00000000638","ENSDARG00000000638","opn1mw4","protein_coding",30504,"opsin 1 (cone pigments), medium-wave-sensitive, 4 [Source:ZFIN;Acc:ZDB-GENE-990604-43]"
"ENSDARG00000000651","ENSDARG00000000651","osgepl1","protein_coding",368635,"O-sialoglycoprotein endopeptidase-like 1 [Source:ZFIN;Acc:ZDB-GENE-030616-532]"
"ENSDARG00000000656","ENSDARG00000000656","psmb9a","protein_coding",30665,"proteasome subunit beta 9a [Source:ZFIN;Acc:ZDB-GENE-990415-140]"
"ENSDARG00000000666","ENSDARG00000000666","creg2","protein_coding",492339,"cellular repressor of E1A-stimulated genes 2 [Source:ZFIN;Acc:ZDB-GENE-041114-173]"
"ENSDARG00000000690","ENSDARG00000000690","sypl2b","protein_coding",799482,"synaptophysin-like 2b [Source:ZFIN;Acc:ZDB-GENE-050417-309]"
"ENSDARG00000000729","ENSDARG00000000729","daxx","protein_coding",561006,"death-domain associated protein [Source:ZFIN;Acc:ZDB-GENE-010110-3]"
"ENSDARG00000000730","ENSDARG00000000730","slc6a22.1","protein_coding",368923,"solute carrier family 6 member 22, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-629]"
"ENSDARG00000000747","ENSDARG00000000747","lcmt2","protein_coding",100005300,"leucine carboxyl methyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-110714-2]"
"ENSDARG00000000760","ENSDARG00000000760","znf511","protein_coding",368916,"zinc finger protein 511 [Source:ZFIN;Acc:ZDB-GENE-030616-621]"
"ENSDARG00000000767","ENSDARG00000000767","spi1b","protein_coding",30117,"Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]"
"ENSDARG00000000779","ENSDARG00000000779","scfd1","protein_coding",317732,"sec1 family domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030116-3]"
"ENSDARG00000000796","ENSDARG00000000796","nr4a1","protein_coding",431720,"nuclear receptor subfamily 4, group A, member 1 [Source:ZFIN;Acc:ZDB-GENE-040704-11]"
"ENSDARG00000000804","ENSDARG00000000804","rassf6","protein_coding",751594,"Ras association (RalGDS/AF-6) domain family 6 [Source:ZFIN;Acc:ZDB-GENE-030616-513]"
"ENSDARG00000000830","ENSDARG00000000830","telo2","protein_coding",777634,"TEL2, telomere maintenance 2, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-061103-523]"
"ENSDARG00000000837","ENSDARG00000000837","snx9a","protein_coding",368424,"sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]"
"ENSDARG00000000853","ENSDARG00000000853","dstyk","protein_coding",402922,"dual serine/threonine and tyrosine protein kinase [Source:ZFIN;Acc:ZDB-GENE-040826-2]"
"ENSDARG00000000857","ENSDARG00000000857","mapk14a","protein_coding",65237,"mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2]"
"ENSDARG00000000861","ENSDARG00000000861","scrib","protein_coding",368473,"scribbled planar cell polarity protein [Source:ZFIN;Acc:ZDB-GENE-030616-572]"
"ENSDARG00000000887","ENSDARG00000000887","zgc:56699","protein_coding",405758,"zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]"
"ENSDARG00000000906","ENSDARG00000000906","skap2","protein_coding",368564,"src kinase associated phosphoprotein 2 [Source:ZFIN;Acc:ZDB-GENE-030616-438]"
"ENSDARG00000000935","ENSDARG00000000935","unk","protein_coding",393205,"unkempt family zinc finger [Source:ZFIN;Acc:ZDB-GENE-040426-707]"
"ENSDARG00000000943","ENSDARG00000000943","dzip1","protein_coding",402875,"DAZ interacting zinc finger protein 1 [Source:ZFIN;Acc:ZDB-GENE-040526-1]"
"ENSDARG00000000966","ENSDARG00000000966","ncor2","protein_coding",561503,"nuclear receptor corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-030616-81]"
"ENSDARG00000001014","ENSDARG00000001014","myh9b","protein_coding",561431,"myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]"
"ENSDARG00000001015","ENSDARG00000001015","znf384l","protein_coding",368610,"zinc finger protein 384 like [Source:ZFIN;Acc:ZDB-GENE-030616-498]"
"ENSDARG00000001057","ENSDARG00000001057","bysl","protein_coding",394081,"bystin-like [Source:ZFIN;Acc:ZDB-GENE-040426-1287]"
"ENSDARG00000001127","ENSDARG00000001127","slc17a6a","protein_coding",494492,"solute carrier family 17 (vesicular glutamate transporter), member 6a [Source:ZFIN;Acc:ZDB-GENE-050105-4]"
"ENSDARG00000001129","ENSDARG00000001129","dicer1","protein_coding",324724,"dicer 1, ribonuclease type III [Source:ZFIN;Acc:ZDB-GENE-030131-3445]"
"ENSDARG00000001154","ENSDARG00000001154","rimbp2","protein_coding",563166,"RIMS binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040724-96]"
"ENSDARG00000001162","ENSDARG00000001162","matr3l1.1","protein_coding",556124,"matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]"
"ENSDARG00000001169","ENSDARG00000001169","hsd17b8","protein_coding",64815,"hydroxysteroid (17-beta) dehydrogenase 8 [Source:ZFIN;Acc:ZDB-GENE-010110-1]"
"ENSDARG00000001210","ENSDARG00000001210","arl14ep","protein_coding",751672,"ADP-ribosylation factor-like 14 effector protein [Source:ZFIN;Acc:ZDB-GENE-060825-216]"
"ENSDARG00000001220","ENSDARG00000001220","mycbp2","protein_coding",368439,"MYC binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-030616-132]"
"ENSDARG00000001234","ENSDARG00000001234","map4k2","protein_coding",678610,"mitogen-activated protein kinase kinase kinase kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030616-163]"
"ENSDARG00000001241","ENSDARG00000001241","puf60b","protein_coding",415211,"poly-U binding splicing factor b [Source:ZFIN;Acc:ZDB-GENE-040625-116]"
"ENSDARG00000001244","ENSDARG00000001244","srrm1","protein_coding",406751,"serine/arginine repetitive matrix 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2789]"
"ENSDARG00000001249","ENSDARG00000001249","pcgf1","protein_coding",368900,"polycomb group ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-030616-605]"
"ENSDARG00000001259","ENSDARG00000001259","gas2a","protein_coding",557312,"growth arrest-specific 2a [Source:ZFIN;Acc:ZDB-GENE-091013-1]"
"ENSDARG00000001303","ENSDARG00000001303","psmb8a","protein_coding",30666,"proteasome subunit beta 8A [Source:ZFIN;Acc:ZDB-GENE-990415-141]"
"ENSDARG00000001313","ENSDARG00000001313","g2e3","protein_coding",368848,"G2/M-phase specific E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030616-400]"
"ENSDARG00000001354","ENSDARG00000001354","slc6a22.2","protein_coding",561024,"solute carrier family 6 member 22, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030616-628]"
"ENSDARG00000001414","ENSDARG00000001414","mctp2a","protein_coding",562393,"multiple C2 domains, transmembrane 2a [Source:ZFIN;Acc:ZDB-GENE-040724-63]"
"ENSDARG00000001431","ENSDARG00000001431","actn3b","protein_coding",323320,"actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]"
"ENSDARG00000001437","ENSDARG00000001437","slc2a1a","protein_coding",555778,"solute carrier family 2 (facilitated glucose transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3158]"
"ENSDARG00000001442","ENSDARG00000001442","inppl1b","protein_coding",368433,"inositol polyphosphate phosphatase-like 1b [Source:ZFIN;Acc:ZDB-GENE-030616-75]"
"ENSDARG00000001447","ENSDARG00000001447","mier1b","protein_coding",566167,"mesoderm induction early response 1b, transcriptional regulator [Source:ZFIN;Acc:ZDB-GENE-070705-170]"
"ENSDARG00000001452","ENSDARG00000001452","adam8a","protein_coding",368917,"ADAM metallopeptidase domain 8a [Source:ZFIN;Acc:ZDB-GENE-030616-622]"
"ENSDARG00000001463","ENSDARG00000001463","tdh2","protein_coding",556781,"L-threonine dehydrogenase 2 [Source:ZFIN;Acc:ZDB-GENE-070620-14]"
"ENSDARG00000001470","ENSDARG00000001470","mhc1zea","protein_coding",565708,"major histocompatibility complex class I ZEA [Source:ZFIN;Acc:ZDB-GENE-070705-176]"
"ENSDARG00000001498","ENSDARG00000001498","skap1","protein_coding",563784,"src kinase associated phosphoprotein 1 [Source:ZFIN;Acc:ZDB-GENE-090721-1]"
"ENSDARG00000001549","ENSDARG00000001549","sp3a","protein_coding",558652,"sp3a transcription factor [Source:ZFIN;Acc:ZDB-GENE-070410-111]"
"ENSDARG00000001557","ENSDARG00000001557","tomm34","protein_coding",323361,"translocase of outer mitochondrial membrane 34 [Source:ZFIN;Acc:ZDB-GENE-030131-2081]"
"ENSDARG00000001558","ENSDARG00000001558","kifc1","protein_coding",c(561143, 30453),"kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21]"
"ENSDARG00000001559","ENSDARG00000001559","csmd2","protein_coding",565460,"CUB and Sushi multiple domains 2 [Source:ZFIN;Acc:ZDB-GENE-030616-39]"
"ENSDARG00000001572","ENSDARG00000001572","prf1.3","protein_coding",559849,"perforin 1.3 [Source:ZFIN;Acc:ZDB-GENE-060503-461]"
"ENSDARG00000001578","ENSDARG00000001578","echs1","protein_coding",368912,"enoyl CoA hydratase, short chain, 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030616-617]"
"ENSDARG00000001621","ENSDARG00000001621","nfyal","protein_coding",573719,"nuclear transcription factor Y, alpha, like [Source:ZFIN;Acc:ZDB-GENE-040718-491]"
"ENSDARG00000001634","ENSDARG00000001634","kirrel1a","protein_coding",405804,"kirre like nephrin family adhesion molecule 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2126]"
"ENSDARG00000001656","ENSDARG00000001656","psmb13a","protein_coding",64280,"proteasome subunit beta 13a [Source:ZFIN;Acc:ZDB-GENE-001208-2]"
"ENSDARG00000001676","ENSDARG00000001676","gpm6bb","protein_coding",503756,"glycoprotein M6Bb [Source:ZFIN;Acc:ZDB-GENE-030710-10]"
"ENSDARG00000001686","ENSDARG00000001686","uckl1a","protein_coding",570547,"uridine-cytidine kinase 1-like 1a [Source:ZFIN;Acc:ZDB-GENE-040724-238]"
"ENSDARG00000001710","ENSDARG00000001710","flot1a","protein_coding",561345,"flotillin 1a [Source:ZFIN;Acc:ZDB-GENE-020430-1]"
"ENSDARG00000001712","ENSDARG00000001712","si:ch211-247n2.1","protein_coding",796753,"si:ch211-247n2.1 [Source:ZFIN;Acc:ZDB-GENE-141216-101]"
"ENSDARG00000001721","ENSDARG00000001721","oc90","protein_coding",568941,"otoconin 90 [Source:ZFIN;Acc:ZDB-GENE-070912-300]"
"ENSDARG00000001729","ENSDARG00000001729","strn3","protein_coding",563124,"striatin, calmodulin binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-030616-405]"
"ENSDARG00000001733","ENSDARG00000001733","gulp1a","protein_coding",368404,"GULP, engulfment adaptor PTB domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-030616-21]"
"ENSDARG00000001734","ENSDARG00000001734","fkbp8","protein_coding",393858,"FK506 binding protein 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1849]"
"ENSDARG00000001754","ENSDARG00000001754","noc2l","protein_coding",58013,"NOC2-like nucleolar associated transcriptional repressor [Source:ZFIN;Acc:ZDB-GENE-000607-75]"
"ENSDARG00000001760","ENSDARG00000001760","tnxba","protein_coding",100536295,"tenascin XBa [Source:ZFIN;Acc:ZDB-GENE-070103-5]"
"ENSDARG00000001767","ENSDARG00000001767","slc29a2","protein_coding",503537,"solute carrier family 29 (equilibrative nucleoside transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-050220-15]"
"ENSDARG00000001769","ENSDARG00000001769","ptpra","protein_coding",140818,"protein tyrosine phosphatase, receptor type, A [Source:ZFIN;Acc:ZDB-GENE-020107-1]"
"ENSDARG00000001771","ENSDARG00000001771","otol1a","protein_coding",553759,"otolin 1a [Source:ZFIN;Acc:ZDB-GENE-050707-1]"
"ENSDARG00000001776","ENSDARG00000001776","stim2b","protein_coding",563901,"stromal interaction molecule 2b [Source:ZFIN;Acc:ZDB-GENE-120404-3]"
"ENSDARG00000001777","ENSDARG00000001777","nup155","protein_coding",393125,"nucleoporin 155 [Source:ZFIN;Acc:ZDB-GENE-040426-711]"
"ENSDARG00000001781","ENSDARG00000001781","tspan11","protein_coding",564029,"tetraspanin 11 [Source:ZFIN;Acc:ZDB-GENE-041210-93]"
"ENSDARG00000001782","ENSDARG00000001782","prkacba","protein_coding",393998,"protein kinase, cAMP-dependent, catalytic, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1351]"
"ENSDARG00000001785","ENSDARG00000001785","irx2a","protein_coding",394032,"iroquois homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1446]"
"ENSDARG00000001788","ENSDARG00000001788","atp5po","protein_coding",335191,"ATP synthase peripheral stalk subunit OSCP [Source:ZFIN;Acc:ZDB-GENE-050522-147]"
"ENSDARG00000001803","ENSDARG00000001803","kcnh6a","protein_coding",405763,"potassium voltage-gated channel, subfamily H (eag-related), member 6a [Source:ZFIN;Acc:ZDB-GENE-040702-5]"
"ENSDARG00000001804","ENSDARG00000001804","zgc:112148","protein_coding",550424,"zgc:112148 [Source:ZFIN;Acc:ZDB-GENE-050417-235]"
"ENSDARG00000001807","ENSDARG00000001807","tnfrsf21","protein_coding",564874,"tumor necrosis factor receptor superfamily, member 21 [Source:ZFIN;Acc:ZDB-GENE-030131-5971]"
"ENSDARG00000001817","ENSDARG00000001817","zmp:0000000521","protein_coding",798602,"zmp:0000000521 [Source:ZFIN;Acc:ZDB-GENE-130530-524]"
"ENSDARG00000001818","ENSDARG00000001818","c3b.2","protein_coding",566347,"complement component c3b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3063]"
"ENSDARG00000001825","ENSDARG00000001825","cfap43","protein_coding",568701,"cilia and flagella associated protein 43 [Source:ZFIN;Acc:ZDB-GENE-080815-3]"
"ENSDARG00000001829","ENSDARG00000001829","zgc:112982","protein_coding",503771,"zgc:112982 [Source:ZFIN;Acc:ZDB-GENE-050306-55]"
"ENSDARG00000001835","ENSDARG00000001835","nalcn","protein_coding",548345,"sodium leak channel, non-selective [Source:ZFIN;Acc:ZDB-GENE-050410-12]"
"ENSDARG00000001857","ENSDARG00000001857","aff4","protein_coding",556421,"AF4/FMR2 family, member 4 [Source:ZFIN;Acc:ZDB-GENE-100910-5]"
"ENSDARG00000001859","ENSDARG00000001859","dbx1b","protein_coding",30416,"developing brain homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-000128-11]"
"ENSDARG00000001870","ENSDARG00000001870","atp1a1a.4","protein_coding",64615,"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]"
"ENSDARG00000001873","ENSDARG00000001873","phgdh","protein_coding",321928,"phosphoglycerate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030131-647]"
"ENSDARG00000001879","ENSDARG00000001879","nav2b","protein_coding",557290,"neuron navigator 2b [Source:ZFIN;Acc:ZDB-GENE-061207-13]"
"ENSDARG00000001880","ENSDARG00000001880","stx3a","protein_coding",393515,"syntaxin 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1489]"
"ENSDARG00000001881","ENSDARG00000001881","cacnb3a","protein_coding",565158,"calcium channel, voltage-dependent, beta 3a [Source:ZFIN;Acc:ZDB-GENE-060221-2]"
"ENSDARG00000001882","ENSDARG00000001882","kbtbd12","protein_coding",559380,"kelch repeat and BTB (POZ) domain containing 12 [Source:ZFIN;Acc:ZDB-GENE-050904-1]"
"ENSDARG00000001888","ENSDARG00000001888","ppm1ba","protein_coding",30672,"protein phosphatase, Mg2+/Mn2+ dependent, 1Ba [Source:ZFIN;Acc:ZDB-GENE-991102-16]"
"ENSDARG00000001889","ENSDARG00000001889","tuba1a","protein_coding",573216,"tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]"
"ENSDARG00000001890","ENSDARG00000001890","stt3b","protein_coding",323918,"STT3B, subunit of the oligosaccharyltransferase complex (catalytic) [Source:ZFIN;Acc:ZDB-GENE-030131-2638]"
"ENSDARG00000001891","ENSDARG00000001891","syt14b","protein_coding",561547,"synaptotagmin XIVb [Source:ZFIN;Acc:ZDB-GENE-041014-36]"
"ENSDARG00000001897","ENSDARG00000001897","man2b1","protein_coding",541519,"mannosidase, alpha, class 2B, member 1 [Source:ZFIN;Acc:ZDB-GENE-050327-52]"
"ENSDARG00000001898","ENSDARG00000001898","manea","protein_coding",447827,"mannosidase, endo-alpha [Source:ZFIN;Acc:ZDB-GENE-040912-87]"
"ENSDARG00000001906","ENSDARG00000001906","si:dkey-247m21.3","protein_coding",559089,"si:dkey-247m21.3 [Source:ZFIN;Acc:ZDB-GENE-091204-249]"
"ENSDARG00000001909","ENSDARG00000001909","vill","protein_coding",555361,"villin-like [Source:ZFIN;Acc:ZDB-GENE-081222-1]"
"ENSDARG00000001910","ENSDARG00000001910","rorab","protein_coding",554722,"RAR-related orphan receptor A, paralog b [Source:ZFIN;Acc:ZDB-GENE-040426-855]"
"ENSDARG00000001912","ENSDARG00000001912","drd4-rs","protein_coding",503566,"dopamine receptor D4 related sequence [Source:ZFIN;Acc:ZDB-GENE-051113-172]"
"ENSDARG00000001913","ENSDARG00000001913","palmda","protein_coding",559824,"palmdelphin a [Source:ZFIN;Acc:ZDB-GENE-070705-48]"
"ENSDARG00000001929","ENSDARG00000001929","pink1","protein_coding",494085,"PTEN induced putative kinase 1 [Source:ZFIN;Acc:ZDB-GENE-041212-53]"
"ENSDARG00000001930","ENSDARG00000001930","klhl15","protein_coding",445186,"kelch-like family member 15 [Source:ZFIN;Acc:ZDB-GENE-040801-99]"
"ENSDARG00000001933","ENSDARG00000001933","prkag2b","protein_coding",568316,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit b [Source:ZFIN;Acc:ZDB-GENE-070912-442]"
"ENSDARG00000001937","ENSDARG00000001937","LO018422.1","protein_coding",100334818,"solute carrier family 2, facilitated glucose transporter member 1-like [Source:NCBI gene;Acc:100334818]"
"ENSDARG00000001939","ENSDARG00000001939","b3gat3","protein_coding",192334,"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I) [Source:ZFIN;Acc:ZDB-GENE-020419-3]"
"ENSDARG00000001940","ENSDARG00000001940","dnajc1","protein_coding",553324,"DnaJ (Hsp40) homolog, subfamily C, member 1 [Source:ZFIN;Acc:ZDB-GENE-061103-529]"
"ENSDARG00000001950","ENSDARG00000001950","ak1","protein_coding",445486,"adenylate kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040822-37]"
"ENSDARG00000001953","ENSDARG00000001953","pfkfb3","protein_coding",554477,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2724]"
"ENSDARG00000001968","ENSDARG00000001968","dock5","protein_coding",571688,"dedicator of cytokinesis 5 [Source:ZFIN;Acc:ZDB-GENE-080108-4]"
"ENSDARG00000001969","ENSDARG00000001969","txlng","protein_coding",324984,"taxilin gamma [Source:ZFIN;Acc:ZDB-GENE-060616-122]"
"ENSDARG00000001971","ENSDARG00000001971","cthrc1b","protein_coding",566140,"collagen triple helix repeat containing 1b [Source:ZFIN;Acc:ZDB-GENE-050420-46]"
"ENSDARG00000001975","ENSDARG00000001975","hsd11b2","protein_coding",334098,"hydroxysteroid (11-beta) dehydrogenase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6030]"
"ENSDARG00000001976","ENSDARG00000001976","fkbp16","protein_coding",497400,"FK506 binding protein 16 [Source:ZFIN;Acc:ZDB-GENE-050208-116]"
"ENSDARG00000001993","ENSDARG00000001993","myhb","protein_coding",100002040,"myosin, heavy chain b [Source:ZFIN;Acc:ZDB-GENE-081124-1]"
"ENSDARG00000001994","ENSDARG00000001994","stxbp1a","protein_coding",574003,"syntaxin binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-050626-106]"
"ENSDARG00000001999","ENSDARG00000001999","adamts18","protein_coding",100150128,"ADAM metallopeptidase with thrombospondin type 1 motif, 18 [Source:ZFIN;Acc:ZDB-GENE-070815-1]"
